"POINT_ID"|"PTotal"|"Country"|"LONG"|"LAT"|"geom_X"|"geom_Y"
53342392|478.72|"Bulgaria"|22.6399000000001|43.8660000000001|5333998.36804285|2391998.26924824
53343772|368.23|"Latvia"|26.3925100003363|56.0056199998631|5333999.9641704|3771999.99903926
53343808|722.33|"Latvia"|26.5281400001609|56.3192799996723|5333998.30429896|3807998.59420546
53343916|179.96|"Latvia"|26.9513199999181|57.2592500001874|5333999.68916967|3916001.59657738
53343990|437.68|"Estonia"|27.2560699998307|57.9023099999066|5334000.36620504|3989999.10332942
53344008|575.58|"Estonia"|27.3321099999766|58.0586299996748|5333999.45033913|4008000.75620262
53344166|783.55|"Estonia"|28.0341700000455|59.4284699999906|5334000.64458344|4166001.29685983
53344408|426.48|"Finland"|29.2446000001899|61.5182399997762|5333998.62132415|4408000.51588531
53344472|65.45|"Finland"|29.5960499998077|62.0689699999656|5334004.52149597|4471998.89229072
53344494|662.76|"Finland"|29.7199300000695|62.2581400001609|5333992.08744486|4494001.04753719
53344498|905.36|"Finland"|29.7452399999261|62.2922100001914|5334129.31623024|4498005.56501611
53361720|486.68|"Greece"|21.4999600002539|37.8708199996433|5335999.00502049|1719999.35920364
53361972|434.87|"Greece"|21.9015200003478|40.1246900000435|5335998.59121527|1972000.85971935
53362434|765.85|"Romania"|22.7481|44.23564|5336001.67089065|2434001.85094912
53362440|731.78|"Romania"|22.7601300000001|44.2888300000001|5335999.78031918|2439998.29992911
53362722|674.94|"Romania"|23.36245|46.7854100000001|5336000.40946715|2721999.73479626
53363562|466.91|"Lithuania"|25.6802599997992|54.1686900001434|5336000.74455301|3562000.97711346
53363760|284.93|"Latvia"|26.3790399996963|55.896980000027|5335997.20620072|3760001.29406092
53363782|1553.26|"Latvia"|26.4613199998182|56.0886900004432|5336001.61952991|3782001.25858778
53363818|532.79|"Latvia"|26.5979099998466|56.4022700001605|5335999.56423628|3818000.44951569
53363868|1569.21|"Latvia"|26.7921200004377|56.8375100002863|5336000.16335866|3868000.71326208
53363876|354.93|"Latvia"|26.8236599998092|56.9070799997422|5335999.77485296|3875996.46741568
53363894|70.56|"Latvia"|26.8952000001799|57.0637100003163|5335999.52649342|3894002.04395061
53364582|86.98|"Finland"|30.2718799998622|63.0082700001605|5335993.23870787|4581987.48277977
53381694|1517.63|"Greece"|21.4829700000655|37.6350699998807|5337998.93891586|1693998.64544355
53381706|157.07|"Greece"|21.5010999997652|37.7426100002514|5337999.39592582|1705996.45990321
53381850|1468.51|"Greece"|21.7250799999421|39.03180000007|5337997.27938667|1849997.90584743
53381878|509.56|"Greece"|21.7700800003918|39.2821599999841|5337998.39943035|1877999.63482136
53382444|407.47|"Romania"|22.7929500000001|44.32125|5338001.11155798|2444000.05602055
53382476|690.29|"Romania"|22.85794|44.6049000000001|5337997.45562308|2475990.58962766
53382490|529.23|"Romania"|22.88669|44.7290600000001|5337997.58776328|2489998.12632665
53382580|248.67|"Romania"|23.07546|45.52628|5337997.71952731|2580000.55980955
53382814|437.56|"Romania"|23.6013500000001|47.59464|5337999.77307855|2813999.67980433
53383702|365.65|"Lithuania"|26.1976999999551|55.3871999996803|5337999.74437649|3701999.33118329
53383828|382.77|"Latvia"|26.6679300002693|56.4851999996803|5337996.36830805|3827999.23881785
53383842|692.62|"Latvia"|26.722220000153|56.6070600003188|5337999.97758428|3841999.2522268
53383932|562.53|"Latvia"|27.0808800004118|57.3898199995934|5338000.15100353|3931997.23064628
53383962|522.4|"Estonia"|27.2044499998677|57.6505100001365|5338000.76647414|3961999.94912695
53384020|477.39|"Estonia"|27.4492299996648|58.1540899996538|5337999.82752578|4019999.89816856
53384406|364.48|"Finland"|29.3060500002074|61.4912800002718|5338000.00044055|4406000.58905222
53384412|903.26|"Finland"|29.3384800001519|61.5429200002579|5338001.561613|4411999.33629401
53384478|372.39|"Finland"|29.7032200002029|62.1105999996903|5338006.19076013|4477998.47151238
53384574|467.65|"Finland"|30.2616500002474|62.9346599996593|5337999.15443552|4574001.75469692
53384596|307.94|"Finland"|30.3946500001974|63.1231000003648|5338003.92273186|4595992.6397628
53384610|50.81|"Finland"|30.480280000122|63.2430799997422|5338002.13465172|4610000.05870824
53384622|331.24|"Finland"|30.5541500000226|63.3458100004312|5337995.47031047|4621996.56556495
53401750|160|"Greece"|21.5907800002968|38.134120000038|5340002.07759684|1750000.6301823
53401828|217.11|"Greece"|21.7128000002199|38.8322699996608|5339999.52029193|1828000.20385849
53401890|1057.36|"Greece"|21.8126999999051|39.3867199996283|5340023.01920115|1890014.82094047
53402070|358.24|"Greece"|22.1153199996184|40.9931699997957|5339998.31344233|2070000.95383769
53402368|188.25|"Bulgaria"|22.66625|43.64388|5339997.83977163|2367999.8902074
53403840|225.68|"Latvia"|26.7461500002224|56.5854999998252|5339998.25202313|3839999.97460716
53403908|218.16|"Latvia"|27.0157099997168|57.1769799996273|5340000.46686418|3908000.16319944
53403912|219.57|"Latvia"|27.0317900002084|57.2116999999551|5339996.75475437|3911993.19885173
53403940|628.2|"Latvia"|27.1460399997462|57.4550999999651|5339999.4831173|3940000.32839267
53404536|366.08|"Finland"|30.0737100001165|62.6036399996863|5340001.53648819|4535999.93210713
53404546|588.01|"Finland"|30.1326399999361|62.6893800001869|5340008.05287759|4545996.66570727
53421690|488.33|"Greece"|21.5219800003767|37.5943899998986|5342027.16475257|1690071.28341131
53421708|344.8|"Greece"|21.5488399997662|37.7551100002264|5341998.94992064|1707999.17636725
53421888|400.23|"Greece"|21.8320100000615|39.3659299995699|5341997.37602622|1887998.39674693
53421892|454.66|"Greece"|21.8385599999441|39.4016700001704|5342000.53559364|1891998.18891898
53421910|738.11|"Greece"|21.8679799995774|39.5625000001749|5341999.12574459|1909997.74515135
53421960|350.54|"Greece"|21.9507899998587|40.0090300002344|5341996.73384631|1959997.28531754
53422396|702.17|"Bulgaria"|22.7460600000001|43.88935|5341998.69840187|2396002.32733698
53422432|680.87|"Romania"|22.8181500000001|44.2086800000001|5341999.85862818|2432000.28509877
53422500|381.28|"Romania"|22.9572700000001|44.81147|5342001.79031471|2499999.67049537
53422600|367.47|"Romania"|23.1697900000001|45.6975200000001|5342043.84425782|2600070.95861417
53422612|528.31|"Romania"|23.1951000000001|45.8031300000001|5341999.93192365|2611998.62004376
53422720|717.74|"Romania"|23.43537|46.7580200000001|5341999.52567738|2719999.74034195
53422734|722.81|"Romania"|23.46735|46.88165|5342001.47118986|2733994.09348462
53422760|704.98|"Romania"|23.5272199999999|47.11135|5341999.23673767|2760000.70731061
53423754|435.24|"Latvia"|26.4503799998372|55.8324500000675|5342004.08113518|3754000.87278358
53423808|1120.05|"Latvia"|26.6542400002758|56.3027999996203|5341999.61854532|3808000.69465858
53423826|282.59|"Latvia"|26.7236399999861|56.4594599997792|5342006.80480951|3825998.66071344
53424012|355.17|"Estonia"|27.4808399995664|58.0759400002309|5342000.20357145|4011999.89914195
53424390|532.76|"Finland"|29.2920700003303|61.3437799998472|5341999.74695268|4390000.74387597
53424466|833.64|"Finland"|29.7088899999736|61.9975299997098|5342000.18710055|4465999.99817164
53424498|792.64|"Finland"|29.8904699999906|62.2724099999216|5342001.54099515|4497999.02919111
53424516|606.16|"Finland"|29.994159999984|62.4269840001116|5341996.11782127|4516003.1196139
53424538|253.38|"Finland"|30.1226699997208|62.6157299996398|5341998.94589518|4538002.01109936
53441998|1325.45|"Greece"|22.0380799998921|40.3453400004407|5344000.17814916|1998000.77156659
53442034|379.2|"Greece"|22.0997100001165|40.6664300002444|5343999.28674365|2033998.97787267
53442394|380.5|"Bulgaria"|22.76665|43.8685500000001|5343999.44172573|2394003.18180643
53442466|569.32|"Romania"|22.91204|44.50706|5344000.53970419|2466001.86505492
53442514|458.6|"Romania"|23.01136|44.9323800000001|5343999.04173931|2513999.12118123
53442528|411.62|"Romania"|23.0407200000001|45.05641|5343999.37706872|2528001.75848868
53442614|315.96|"Romania"|23.2248499999999|45.8176500000001|5344000.74654874|2614000.03430262
53442784|632.87|"Romania"|23.6091799999999|47.3199700000001|5343998.98265124|2784001.44365278
53443776|2927.59|"Latvia"|26.5640099995619|56.0200099997617|5344001.66462821|3776000.40868837
53443794|582.56|"Latvia"|26.6322499997377|56.1767700000355|5344001.70248043|3794001.30218027
53443990|268.33|"Estonia"|27.4199100001464|57.8806599997592|5344000.67334948|3989999.32578601
53444008|2141.38|"Estonia"|27.4965999996903|58.0368499998277|5344000.50027169|4007998.37029177
53444436|518.05|"Finland"|29.5782900000835|61.7346699998207|5343999.70715584|4435999.59000932
53444490|213.3|"Finland"|29.8814899995639|62.1986499996978|5344000.23168039|4489994.8286454
53461984|390.22|"Greece"|22.037480000102|40.2175499997327|5345997.95916826|1983999.1587037
53461994|275.36|"Greece"|22.0544799998522|40.3067699997358|5346000.01637064|1993998.80093459
53462264|849.75|"Bulgaria"|22.5387700000001|42.71106|5345997.53824927|2263999.5140294
53462362|2232.51|"Bulgaria"|22.72784|43.5815000000001|5346000.23927127|2362001.64542241
53462368|1581.66|"Bulgaria"|22.73965|43.6347400000001|5345999.79879397|2368000.04142608
53462476|360.57|"Romania"|22.95741|44.59255|5345999.81810041|2475997.963267
53462524|267.45|"Romania"|23.05734|45.01779|5345999.48802879|2523995.8587143
53462624|530.78|"Romania"|23.2724100000001|45.9027600000001|5346025.91886969|2623987.15034949
53462646|418.35|"Romania"|23.3206400000001|46.09779|5345998.50672667|2646034.88995742
53462812|530.62|"Romania"|23.70144|47.5637700000001|5345999.66624999|2812000.95876279
53462822|379.37|"Romania"|23.7252700000001|47.65199|5345999.86245179|2821999.88751706
53463800|125.88|"Latvia"|26.6864699999905|56.2248599999891|5345995.03400284|3799998.71309873
53463908|791.63|"Latvia"|27.1121699999456|57.1642099997917|5345996.86754148|3907997.73905978
53463988|327.83|"Estonia"|27.4441599996843|57.8589600000041|5346000.01190881|3988000.34060661
53464432|203.6|"Finland"|29.5925399998212|61.6953200000181|5346001.52745196|4431999.22389099
53464576|1611.72|"Finland"|30.4241800004067|62.9309999999501|5346007.84935451|4575985.25571422
53481692|123.82|"Greece"|21.5915000002249|37.6035099995869|5347999.056358|1691998.56145987
53481718|434.42|"Greece"|21.6312200000031|37.8364900002134|5347999.19510258|1717999.14258474
53481902|783.95|"Greece"|21.9236599997093|39.4825899996288|5348001.33348762|1902001.59479414
53481974|775.48|"Greece"|22.0437299996398|40.1254599995794|5347999.82898344|1974000.50625698
53482034|340.09|"Greece"|22.1463600002139|40.6606600003588|5347998.96224996|2033999.03913646
53482046|457.7|"Greece"|22.1671999998802|40.7676499996478|5348000.93173188|2045999.76888944
53482276|694.51|"Bulgaria"|22.5856600000001|42.81469|5347998.66920483|2275998.94161325
53482366|289.76|"Bulgaria"|22.76014|43.6139400000001|5347998.54604209|2366000.65460804
53482384|772.16|"Bulgaria"|22.79582|43.77366|5347999.90235308|2383999.84440408
53482412|648.61|"Bulgaria"|22.8518100000001|44.0220499999999|5347998.98813661|2411999.63587564
53482456|496.25|"Romania"|22.9411299999999|44.41221|5347999.36780008|2456002.10739706
53482708|813.44|"Romania"|23.4854100000001|46.6422400000001|5347999.49997428|2707999.97011987
53482718|351.72|"Romania"|23.50827|46.73053|5348003.49475268|2717994.80447748
53482802|636.31|"Romania"|23.7038499999999|47.4722200000001|5347998.28458086|2802001.56166535
53482806|569.83|"Romania"|23.7133500000001|47.50749|5347999.15432888|2805998.86844239
53482852|250.27|"Romania"|23.8237500000001|47.91326|5347999.32037|2851999.60070462
53483700|552.88|"Lithuania"|26.3445399996214|55.3496100001014|5348000.11611707|3700000.92180075
53483934|273.6|"Latvia"|27.2508500001275|57.3858499999776|5347999.52688174|3934003.50459415
53483996|75.83|"Estonia"|27.5108999999351|57.9240000001|5347997.33671822|3995998.3775509
53484512|421.16|"Finland"|30.0820400002459|62.3774199996333|5347999.59608952|4512001.51358212
53484544|302.46|"Finland"|30.2698099997318|62.6517499996628|5347996.98763664|4543992.39051094
53484590|284.94|"Finland"|30.5467899996588|63.0458100001314|5347996.33078828|4589996.81704894
53484608|403.69|"Finland"|30.6576599998092|63.1998499999776|5348006.35290492|4608000.03107813
53501750|406.87|"Greece"|21.7030999998652|38.1203499999526|5349998.74661605|1750001.01839372
53501756|513.89|"Greece"|21.7124700002904|38.1740499996079|5350000.96016952|1755999.04402097
53501958|1051.86|"Greece"|22.039820000093|39.9797800003468|5349998.18201361|1957998.08841877
53502218|828.27|"Bulgaria"|22.50047|42.29612|5350000.96544091|2217999.52664853
53502416|699.27|"Bulgaria"|22.88451|44.0544300000001|5350000.81544987|2415999.1897376
53502516|441.46|"Romania"|23.0905500000001|44.9407|5349998.87115127|2516001.93095972
53502620|315.49|"Romania"|23.31416|45.8611100000001|5350000.92871193|2619998.62039399
53502646|452.57|"Romania"|23.3716099999999|46.0910300000001|5350001.18919706|2645999.39261292
53502682|668.78|"Romania"|23.45219|46.4092700000001|5349999.56041747|2682002.19219061
53502710|304.44|"Romania"|23.51575|46.6566500000001|5350000.81891091|2710000.70070305
53502854|610.86|"Romania"|23.8550000000001|47.9275400000001|5350001.21614166|2854000.04649282
53503690|366.31|"Lithuania"|26.3389899999885|55.2583699995758|5350000.28296195|3689999.61690578
53503756|422.22|"Latvia"|26.5823899999986|55.8334799999021|5350000.40249082|3756000.32069253
53503820|501.83|"Latvia"|26.8266900001435|56.3906399998362|5350000.89558409|3820005.91961361
53504414|582.59|"Finland"|29.5661899996688|61.5306799996823|5350009.51786894|4414004.42454641
53504432|166.67|"Finland"|29.6650099999116|61.6854200003328|5349998.86514385|4432000.40071605
53504576|476.99|"Finland"|30.4991699997957|62.9207500003123|5349995.53839816|4575996.15509163
53521726|427.23|"Greece"|21.6883199999681|37.9026499997977|5351999.34413386|1726000.47404187
53521934|398.11|"Greece"|22.0226099996518|39.7626599999591|5351998.67554305|1933996.89745665
53522032|406.14|"Greece"|22.1895200003478|40.6370400001959|5351997.75679394|2031999.29156094
53522230|586.11|"Bulgaria"|22.54674|42.39985|5351991.3656393|2230000.73264514
53522406|571.6|"Romania"|22.88894|43.9626600000001|5351999.58326762|2406000.10066978
53522486|424.81|"Romania"|23.0526100000001|44.6718300000001|5351990.09184618|2486001.90327858
53522532|501.35|"Romania"|23.1493400000001|45.07924|5351995.87979255|2532002.84175486
53522622|555.82|"Romania"|23.3439599999999|45.87559|5352000.49442314|2621999.32672357
53522708|758.48|"Romania"|23.53692|46.63571|5351999.40741466|2708000.05878501
53522720|1022.88|"Romania"|23.5644|46.7416799999999|5351998.77166687|2719997.21574352
53523682|321.87|"Lithuania"|26.3407199997283|55.1845900002284|5351999.4532829|3682000.83529108
53523718|272.69|"Lithuania"|26.4720599995694|55.4982900000835|5351998.07872878|3717992.80238764
53523916|374.22|"Latvia"|27.2413999996103|57.2208700001505|5352000.47460853|3915998.40999447
53524458|421.38|"Finland"|29.8465499998827|61.9037899999086|5352001.21668556|4457998.82125654
53524480|321.96|"Finland"|29.9713199998182|62.0926999998052|5351999.26779437|4480001.70363829
53524494|74.26|"Finland"|30.0517599996243|62.2128099997817|5352006.14792653|4494000.30707157
53541918|335.13|"Greece"|22.0189099998966|39.6169700002653|5353998.18775121|1918000.53552415
53542026|439.75|"Greece"|22.2022999997453|40.5806099996518|5353988.79045381|2025994.12705327
53542386|524.17|"Bulgaria"|22.87332|43.7821700000001|5353998.13777736|2385999.79415583
53542484|429.35|"Romania"|23.0734800000001|44.65098|5354002.24900738|2484005.09654735
53542632|683.78|"Romania"|23.3917800000001|45.9608700000001|5354021.68506226|2632012.0597078
53542700|422.82|"Romania"|23.5444200000001|46.56177|5354001.84573511|2700000.6918488
53542740|451.22|"Romania"|23.63649|46.9150400000001|5354002.99755973|2740001.98315099
53542764|550.11|"Romania"|23.6924600000001|47.1269|5354001.05325126|2764000.75688326
53543706|339.87|"Lithuania"|26.4588599996893|55.3897100003163|5353999.71445466|3706000.6389396
53543746|807.19|"Latvia"|26.607100000065|55.738140000061|5354000.02387027|3745998.39115672
53543750|942.83|"Latvia"|26.6221000002149|55.7729799996274|5354000.05260222|3749999.18946036
53543782|337.39|"Latvia"|26.743220000003|56.0515700000555|5353999.85715565|3781999.6082084
53543786|257.14|"Latvia"|26.7585100000366|56.086380000037|5354000.23097494|3785999.31631864
